analysis_set,template,condition,layer,mean_final_token_entity_attention,mean_final_token_entity_contribution_norm
all_100,direct_fact,middle_12_14,18,0.014231560723856092,1.2628000497817993
all_100,direct_fact,middle_12_14,19,0.017278931653127074,1.5277841454744339
all_100,direct_fact,middle_12_14,20,0.044407722055912015,3.6414892506599426
all_100,direct_fact,middle_12_14,21,0.15184019573032856,17.166860313415526
all_100,direct_fact,middle_12_14,22,0.048979106973856684,5.462690241336823
all_100,direct_fact,middle_12_14,23,0.15017688259482384,29.01855365753174
all_100,direct_fact,middle_12_14,24,0.1534451539069414,36.09421594619751
all_100,direct_fact,middle_12_14,25,0.027125288164243103,14.51860451221466
all_100,direct_fact,middle_12_14,26,0.05792569624260068,17.181213841438293
all_100,direct_fact,middle_12_14,27,0.05617788512259722,19.602134151458742
all_100,direct_fact,middle_12_14,28,0.08421743012964726,48.08311782836914
all_100,direct_fact,middle_12_14,29,0.0879090265929699,58.57768360137939
all_100,direct_fact,middle_12_14,30,0.048062663413584235,48.73959053039551
all_100,direct_fact,middle_12_14,31,0.09804376758635044,98.55811721801757
all_100,direct_fact,middle_12_14,32,0.058010855689644814,115.23547235488891
all_100,direct_fact,middle_12_14,33,0.09261936526745558,129.00943504333497
all_100,direct_fact,middle_12_14,34,0.0630683192051947,113.02190242767334
all_100,direct_fact,middle_12_14,35,0.02436628148891032,15.45732614517212
all_100,direct_fact,later_middle_19_21,0,0.010520990649238228,0.13144008338451385
all_100,direct_fact,later_middle_19_21,1,0.006244885025080293,0.09027159832417965
all_100,direct_fact,later_middle_19_21,2,0.008615995573345572,0.11976152520626783
all_100,direct_fact,later_middle_19_21,3,0.014811110822483898,0.7114362740516662
all_100,direct_fact,later_middle_19_21,4,0.006047183533664793,0.17639973059296607
all_100,direct_fact,later_middle_19_21,5,0.0034553430741652846,0.17671422816812993
all_100,direct_fact,later_middle_19_21,6,0.0033928198856301604,0.12403470426797866
all_100,direct_fact,later_middle_19_21,7,0.0014075783389853314,0.11954440854489803
all_100,direct_fact,later_middle_19_21,8,0.002558227254776284,0.20408071860671043
all_100,direct_fact,later_middle_19_21,9,0.004650816940702498,0.43970451667904853
all_100,direct_fact,later_middle_19_21,10,0.005041544712148607,0.5987958993017674
all_100,direct_fact,later_middle_19_21,11,0.00270602140808478,0.1575358187034726
all_100,direct_fact,later_middle_19_21,12,0.0023340816382551566,0.19864198081195356
all_100,direct_fact,later_middle_19_21,13,0.004211981870466844,0.20593750186264514
all_100,direct_fact,later_middle_19_21,14,0.006359383931849152,0.3535644152760506
all_100,direct_fact,later_middle_19_21,15,0.0026979851309442892,0.22134578913450242
all_100,direct_fact,later_middle_19_21,16,0.0037811033742036673,0.21992928020656108
all_100,direct_fact,later_middle_19_21,17,0.007336263379547745,0.4636395420879126
all_100,direct_fact,later_middle_19_21,18,0.018419635477475823,1.7112408417463303
all_100,direct_fact,later_middle_19_21,19,0.02148805825971067,1.858574879169464
all_100,direct_fact,later_middle_19_21,20,0.052420871797949076,4.177041605710984
all_100,direct_fact,later_middle_19_21,21,0.16168746761977673,18.18521894454956
all_100,direct_fact,later_middle_19_21,22,0.05135875403881073,5.776103427410126
all_100,direct_fact,later_middle_19_21,23,0.16303950637578965,29.91116205215454
